ISO-3166,Country,Continent,Last Update,Lat,Long,Confirmed,Deaths,Recovered,Active,Incident_Rate,Mortality_Rate (per 100)
AFG,Afghanistan,Asia,12/13/20,33.93911,67.709953,48952,1960,38250,8742,1257.4900122252832,0.005034892188187521
ALB,Albania,Europe,12/13/20,41.1533,20.1683,48530,1003,24820,22707,16863.576343039822,0.03485301271804851
DZA,Algeria,Africa,12/13/20,28.0339,1.6596,92102,2596,60457,29049,2100.337727428741,0.005920041628200269
AND,Andorra,Europe,12/13/20,42.5063,1.5218,7338,79,6629,630,94971.85012618908,0.10224551866951401
AGO,Angola,Africa,12/13/20,-11.2027,17.8739,16188,371,8898,6919,492.54147139553544,0.0011288169377794888
ATG,Antigua and Barbuda,North America,12/13/20,17.0608,-61.7964,148,5,138,5,1511.314435095172,0.005105792010456662
ARG,Argentina,South America,12/13/20,-38.4161,-63.6167,1498160,40766,1335317,122077,33148.229756067696,0.09019869267874298
ARM,Armenia,Asia,12/13/20,40.0691,45.0382,148325,2486,125169,20670,50055.10870893085,0.08389482572081719
AUS,Australia,Oceania,12/13/20,-256.85020000000003,1130.8439,28037,908,22485,4644,550.6152861188467,0.0017832103284799114
AUT,Austria,Europe,12/13/20,47.5162,14.5501,317499,5778,281106,30615,35252.598152424944,0.06415437910818973
AZE,Azerbaijan,Asia,12/13/20,40.1431,47.5769,175874,1922,111918,62034,17345.987222826312,0.018956177401021287
BHS,Bahamas,North America,12/13/20,25.025885,-78.035889,7659,163,6069,1427,19476.259256245423,0.04144967043697616
BHR,Bahrain,Asia,12/13/20,26.0275,50.55,89143,348,87182,1613,52388.27609349647,0.02045154423851202
BGD,Bangladesh,Asia,12/13/20,23.685,90.3563,490533,7052,420896,62585,2978.5344450528423,0.004282000376429852
BRB,Barbados,North America,12/13/20,13.1939,-59.5432,292,7,269,16,1016.1080971983951,0.0024358755754756048
BLR,Belarus,Europe,12/13/20,53.7098,27.9534,160295,1263,138464,20568,16963.65273229685,0.013366039739786593
BEL,Belgium,Europe,12/13/20,50.8333,4.469936,608137,17951,0,590186,26457.669738400426,0.0780978018890523
BLZ,Belize,North America,12/13/20,17.1899,-88.4976,9295,195,4321,4779,23376.531923615705,0.04904167536422875
BEN,Benin,Africa,12/13/20,9.3077,2.3158,3090,44,2972,74,254.88324120417732,0.00036294053763701625
BTN,Bhutan,Asia,12/13/20,27.5142,90.4336,438,0,403,35,567.6428049330493,0.0
BOL,Bolivia,South America,12/13/20,-16.2902,-63.5887,147150,9018,126221,11911,12605.982560310611,0.07725501238795861
BIH,Bosnia and Herzegovina,Europe,12/13/20,43.9159,17.6791,101117,3336,65758,32023,30820.695467437206,0.10168205156340726
BWA,Botswana,Africa,12/13/20,-22.3285,24.6849,12501,37,9940,2524,5315.898580768618,0.0015733801094987509
BRA,Brazil,South America,12/13/20,-14.235,-51.9253,6906811,181536,6138349,586926,16339.494293220458,0.04294610690829776
BRN,Brunei,Asia,12/13/20,4.5353,114.7277,152,3,147,2,347.4420720347991,0.0006857409316476298
